company_name,industry/domain,job_role,job_title_raw,job_type,required_skills,preferred_skills,cgpa_requirement,experience_required,job_description,location,salary_range,source,date_posted,source_url
Hindustan Unilever,Other,Digital Marketing,Digital Marketing Executive,Intern,"[""c"", ""git""]","[""go""]",7.0+,1+,"Digital Marketing Executive Morecare Mobility Jaipur ₹ 2,00,000 - 2,50,000 ₹ 2,00,000 - 2,50,000 /year 1 year(s) As a digital marketing executive at Morecare Mobility, you will play a crucial role in developing and implementing our digital marketing strategies to drive growth and engagement. Your expertise in areas such as Digital Advertising, Content Marketing, SEO, SEM, Facebook Ads, Google Keyword Planner, Social Media Marketing, Facebook Marketing, Email Marketing, Instagram Marketing, and c",Jaipur,6-16 LPA,internshala,2026-04-09,https://internshala.com/jobs/hindustan-unilever-jobs/page-1
Standard Chartered,Other,Digital Marketing,Digital Marketing Executive,Intern,"[""c"", ""git""]","[""go""]",7.0+,1+,"Digital Marketing Executive Morecare Mobility Jaipur ₹ 2,00,000 - 2,50,000 ₹ 2,00,000 - 2,50,000 /year 1 year(s) As a digital marketing executive at Morecare Mobility, you will play a crucial role in developing and implementing our digital marketing strategies to drive growth and engagement. Your expertise in areas such as Digital Advertising, Content Marketing, SEO, SEM, Facebook Ads, Google Keyword Planner, Social Media Marketing, Facebook Marketing, Email Marketing, Instagram Marketing, and c",Jaipur,6-16 LPA,internshala,2026-04-09,https://internshala.com/jobs/standard-chartered-jobs/page-1
HSBC,Other,Digital Marketing,Digital Marketing Executive,Intern,"[""c"", ""git""]","[""go""]",7.0+,1+,"Digital Marketing Executive Morecare Mobility Jaipur ₹ 2,00,000 - 2,50,000 ₹ 2,00,000 - 2,50,000 /year 1 year(s) As a digital marketing executive at Morecare Mobility, you will play a crucial role in developing and implementing our digital marketing strategies to drive growth and engagement. Your expertise in areas such as Digital Advertising, Content Marketing, SEO, SEM, Facebook Ads, Google Keyword Planner, Social Media Marketing, Facebook Marketing, Email Marketing, Instagram Marketing, and c",Jaipur,6-16 LPA,internshala,2026-04-09,https://internshala.com/jobs/hsbc-jobs/page-1
Barclays,Other,Digital Marketing,Digital Marketing Executive,Intern,"[""c"", ""git""]","[""go""]",7.0+,1+,"Digital Marketing Executive Morecare Mobility Jaipur ₹ 2,00,000 - 2,50,000 ₹ 2,00,000 - 2,50,000 /year 1 year(s) As a digital marketing executive at Morecare Mobility, you will play a crucial role in developing and implementing our digital marketing strategies to drive growth and engagement. Your expertise in areas such as Digital Advertising, Content Marketing, SEO, SEM, Facebook Ads, Google Keyword Planner, Social Media Marketing, Facebook Marketing, Email Marketing, Instagram Marketing, and c",Jaipur,6-16 LPA,internshala,2026-04-09,https://internshala.com/jobs/barclays-jobs/page-1
Deutsche Bank,Other,Digital Marketing,Digital Marketing Executive,Intern,"[""c"", ""git""]","[""go""]",7.0+,1+,"Digital Marketing Executive Morecare Mobility Jaipur ₹ 2,00,000 - 2,50,000 ₹ 2,00,000 - 2,50,000 /year 1 year(s) As a digital marketing executive at Morecare Mobility, you will play a crucial role in developing and implementing our digital marketing strategies to drive growth and engagement. Your expertise in areas such as Digital Advertising, Content Marketing, SEO, SEM, Facebook Ads, Google Keyword Planner, Social Media Marketing, Facebook Marketing, Email Marketing, Instagram Marketing, and c",Jaipur,6-16 LPA,internshala,2026-04-09,https://internshala.com/jobs/deutsche-bank-jobs/page-1
UBS,Other,Digital Marketing,Digital Marketing Executive,Intern,"[""c"", ""git""]","[""go""]",7.0+,1+,"Digital Marketing Executive Morecare Mobility Jaipur ₹ 2,00,000 - 2,50,000 ₹ 2,00,000 - 2,50,000 /year 1 year(s) As a digital marketing executive at Morecare Mobility, you will play a crucial role in developing and implementing our digital marketing strategies to drive growth and engagement. Your expertise in areas such as Digital Advertising, Content Marketing, SEO, SEM, Facebook Ads, Google Keyword Planner, Social Media Marketing, Facebook Marketing, Email Marketing, Instagram Marketing, and c",Jaipur,6-16 LPA,internshala,2026-04-09,https://internshala.com/jobs/ubs-jobs/page-1
Credit Suisse,Other,Digital Marketing,Digital Marketing Executive,Intern,"[""c"", ""git""]","[""go""]",7.0+,1+,"Digital Marketing Executive Morecare Mobility Jaipur ₹ 2,00,000 - 2,50,000 ₹ 2,00,000 - 2,50,000 /year 1 year(s) As a digital marketing executive at Morecare Mobility, you will play a crucial role in developing and implementing our digital marketing strategies to drive growth and engagement. Your expertise in areas such as Digital Advertising, Content Marketing, SEO, SEM, Facebook Ads, Google Keyword Planner, Social Media Marketing, Facebook Marketing, Email Marketing, Instagram Marketing, and c",Jaipur,6-16 LPA,internshala,2026-04-09,https://internshala.com/jobs/credit-suisse-jobs/page-1
Citi,Other,Digital Marketing,Digital Marketing Executive,Intern,"[""c"", ""git""]","[""go""]",7.0+,1+,"Digital Marketing Executive Morecare Mobility Jaipur ₹ 2,00,000 - 2,50,000 ₹ 2,00,000 - 2,50,000 /year 1 year(s) As a digital marketing executive at Morecare Mobility, you will play a crucial role in developing and implementing our digital marketing strategies to drive growth and engagement. Your expertise in areas such as Digital Advertising, Content Marketing, SEO, SEM, Facebook Ads, Google Keyword Planner, Social Media Marketing, Facebook Marketing, Email Marketing, Instagram Marketing, and c",Jaipur,6-16 LPA,internshala,2026-04-09,https://internshala.com/jobs/citi-jobs/page-1
Bank of America,Other,Digital Marketing,Digital Marketing Executive,Intern,"[""c"", ""git""]","[""go""]",7.0+,1+,"Digital Marketing Executive Morecare Mobility Jaipur ₹ 2,00,000 - 2,50,000 ₹ 2,00,000 - 2,50,000 /year 1 year(s) As a digital marketing executive at Morecare Mobility, you will play a crucial role in developing and implementing our digital marketing strategies to drive growth and engagement. Your expertise in areas such as Digital Advertising, Content Marketing, SEO, SEM, Facebook Ads, Google Keyword Planner, Social Media Marketing, Facebook Marketing, Email Marketing, Instagram Marketing, and c",Jaipur,6-16 LPA,internshala,2026-04-09,https://internshala.com/jobs/bank-of-america-jobs/page-1
Mastercard,Fintech/Payments,Digital Marketing,Digital Marketing Executive,Intern,"[""c"", ""git""]","[""go""]",7.0+,1+,"Digital Marketing Executive Morecare Mobility Jaipur ₹ 2,00,000 - 2,50,000 ₹ 2,00,000 - 2,50,000 /year 1 year(s) As a digital marketing executive at Morecare Mobility, you will play a crucial role in developing and implementing our digital marketing strategies to drive growth and engagement. Your expertise in areas such as Digital Advertising, Content Marketing, SEO, SEM, Facebook Ads, Google Keyword Planner, Social Media Marketing, Facebook Marketing, Email Marketing, Instagram Marketing, and c",Jaipur,7-19 LPA,internshala,2026-04-09,https://internshala.com/jobs/mastercard-jobs/page-1
Visa,Fintech/Payments,Digital Marketing,Digital Marketing Executive,Intern,"[""c"", ""git""]","[""go""]",7.0+,1+,"Digital Marketing Executive Morecare Mobility Jaipur ₹ 2,00,000 - 2,50,000 ₹ 2,00,000 - 2,50,000 /year 1 year(s) As a digital marketing executive at Morecare Mobility, you will play a crucial role in developing and implementing our digital marketing strategies to drive growth and engagement. Your expertise in areas such as Digital Advertising, Content Marketing, SEO, SEM, Facebook Ads, Google Keyword Planner, Social Media Marketing, Facebook Marketing, Email Marketing, Instagram Marketing, and c",Jaipur,7-19 LPA,internshala,2026-04-09,https://internshala.com/jobs/visa-jobs/page-1
PayPal,Fintech/Payments,Digital Marketing,Digital Marketing Executive,Intern,"[""c"", ""git""]","[""go""]",7.0+,1+,"Digital Marketing Executive Morecare Mobility Jaipur ₹ 2,00,000 - 2,50,000 ₹ 2,00,000 - 2,50,000 /year 1 year(s) As a digital marketing executive at Morecare Mobility, you will play a crucial role in developing and implementing our digital marketing strategies to drive growth and engagement. Your expertise in areas such as Digital Advertising, Content Marketing, SEO, SEM, Facebook Ads, Google Keyword Planner, Social Media Marketing, Facebook Marketing, Email Marketing, Instagram Marketing, and c",Jaipur,7-19 LPA,internshala,2026-04-09,https://internshala.com/jobs/paypal-jobs/page-1
Uber,Mobility Tech,Digital Marketing,Digital Marketing Executive,Intern,"[""c"", ""git""]","[""go""]",8.0+,1+,"Digital Marketing Executive Morecare Mobility Jaipur ₹ 2,00,000 - 2,50,000 ₹ 2,00,000 - 2,50,000 /year 1 year(s) As a digital marketing executive at Morecare Mobility, you will play a crucial role in developing and implementing our digital marketing strategies to drive growth and engagement. Your expertise in areas such as Digital Advertising, Content Marketing, SEO, SEM, Facebook Ads, Google Keyword Planner, Social Media Marketing, Facebook Marketing, Email Marketing, Instagram Marketing, and c",Jaipur,6-16 LPA,internshala,2026-04-09,https://internshala.com/jobs/uber-jobs/page-1
Airbnb,Travel Tech,Digital Marketing,Digital Marketing Executive,Intern,"[""c"", ""git""]","[""go""]",7.0+,1+,"Digital Marketing Executive Morecare Mobility Jaipur ₹ 2,00,000 - 2,50,000 ₹ 2,00,000 - 2,50,000 /year 1 year(s) As a digital marketing executive at Morecare Mobility, you will play a crucial role in developing and implementing our digital marketing strategies to drive growth and engagement. Your expertise in areas such as Digital Advertising, Content Marketing, SEO, SEM, Facebook Ads, Google Keyword Planner, Social Media Marketing, Facebook Marketing, Email Marketing, Instagram Marketing, and c",Jaipur,6-16 LPA,internshala,2026-04-09,https://internshala.com/jobs/airbnb-jobs/page-1
Booking Holdings,Travel Tech,Digital Marketing,Digital Marketing Executive,Intern,"[""c"", ""git""]","[""go""]",7.0+,1+,"Digital Marketing Executive Morecare Mobility Jaipur ₹ 2,00,000 - 2,50,000 ₹ 2,00,000 - 2,50,000 /year 1 year(s) As a digital marketing executive at Morecare Mobility, you will play a crucial role in developing and implementing our digital marketing strategies to drive growth and engagement. Your expertise in areas such as Digital Advertising, Content Marketing, SEO, SEM, Facebook Ads, Google Keyword Planner, Social Media Marketing, Facebook Marketing, Email Marketing, Instagram Marketing, and c",Jaipur,6-16 LPA,internshala,2026-04-09,https://internshala.com/jobs/booking-holdings-jobs/page-1
Expedia,Travel Tech,Digital Marketing,Digital Marketing Executive,Intern,"[""c"", ""git""]","[""go""]",7.0+,1+,"Digital Marketing Executive Morecare Mobility Jaipur ₹ 2,00,000 - 2,50,000 ₹ 2,00,000 - 2,50,000 /year 1 year(s) As a digital marketing executive at Morecare Mobility, you will play a crucial role in developing and implementing our digital marketing strategies to drive growth and engagement. Your expertise in areas such as Digital Advertising, Content Marketing, SEO, SEM, Facebook Ads, Google Keyword Planner, Social Media Marketing, Facebook Marketing, Email Marketing, Instagram Marketing, and c",Jaipur,6-16 LPA,internshala,2026-04-09,https://internshala.com/jobs/expedia-jobs/page-1
Flipkart,E-commerce,Digital Marketing,Digital Marketing Executive,Intern,"[""c"", ""git""]","[""go""]",7.0+,1+,"Digital Marketing Executive Morecare Mobility Jaipur ₹ 2,00,000 - 2,50,000 ₹ 2,00,000 - 2,50,000 /year 1 year(s) As a digital marketing executive at Morecare Mobility, you will play a crucial role in developing and implementing our digital marketing strategies to drive growth and engagement. Your expertise in areas such as Digital Advertising, Content Marketing, SEO, SEM, Facebook Ads, Google Keyword Planner, Social Media Marketing, Facebook Marketing, Email Marketing, Instagram Marketing, and c",Jaipur,6-16 LPA,internshala,2026-04-09,https://internshala.com/jobs/flipkart-jobs/page-1
Walmart Global Tech,Retail Tech,Digital Marketing,Digital Marketing Executive,Intern,"[""c"", ""git""]","[""go""]",7.0+,1+,"Digital Marketing Executive Morecare Mobility Jaipur ₹ 2,00,000 - 2,50,000 ₹ 2,00,000 - 2,50,000 /year 1 year(s) As a digital marketing executive at Morecare Mobility, you will play a crucial role in developing and implementing our digital marketing strategies to drive growth and engagement. Your expertise in areas such as Digital Advertising, Content Marketing, SEO, SEM, Facebook Ads, Google Keyword Planner, Social Media Marketing, Facebook Marketing, Email Marketing, Instagram Marketing, and c",Jaipur,7-19 LPA,internshala,2026-04-09,https://internshala.com/jobs/walmart-global-tech-jobs/page-1
Target,Other,Digital Marketing,Digital Marketing Executive,Intern,"[""c"", ""git""]","[""go""]",7.0+,1+,"Digital Marketing Executive Morecare Mobility Jaipur ₹ 2,00,000 - 2,50,000 ₹ 2,00,000 - 2,50,000 /year 1 year(s) As a digital marketing executive at Morecare Mobility, you will play a crucial role in developing and implementing our digital marketing strategies to drive growth and engagement. Your expertise in areas such as Digital Advertising, Content Marketing, SEO, SEM, Facebook Ads, Google Keyword Planner, Social Media Marketing, Facebook Marketing, Email Marketing, Instagram Marketing, and c",Jaipur,6-16 LPA,internshala,2026-04-09,https://internshala.com/jobs/target-jobs/page-1
Tesco,Other,Digital Marketing,Digital Marketing Executive,Intern,"[""c"", ""git""]","[""go""]",7.0+,1+,"Digital Marketing Executive Morecare Mobility Jaipur ₹ 2,00,000 - 2,50,000 ₹ 2,00,000 - 2,50,000 /year 1 year(s) As a digital marketing executive at Morecare Mobility, you will play a crucial role in developing and implementing our digital marketing strategies to drive growth and engagement. Your expertise in areas such as Digital Advertising, Content Marketing, SEO, SEM, Facebook Ads, Google Keyword Planner, Social Media Marketing, Facebook Marketing, Email Marketing, Instagram Marketing, and c",Jaipur,6-16 LPA,internshala,2026-04-09,https://internshala.com/jobs/tesco-jobs/page-1
Shell,Other,Digital Marketing,Digital Marketing Executive,Intern,"[""c"", ""git""]","[""go""]",7.0+,1+,"Digital Marketing Executive Morecare Mobility Jaipur ₹ 2,00,000 - 2,50,000 ₹ 2,00,000 - 2,50,000 /year 1 year(s) As a digital marketing executive at Morecare Mobility, you will play a crucial role in developing and implementing our digital marketing strategies to drive growth and engagement. Your expertise in areas such as Digital Advertising, Content Marketing, SEO, SEM, Facebook Ads, Google Keyword Planner, Social Media Marketing, Facebook Marketing, Email Marketing, Instagram Marketing, and c",Jaipur,6-16 LPA,internshala,2026-04-09,https://internshala.com/jobs/shell-jobs/page-1
BP,Other,Digital Marketing,Digital Marketing Executive,Intern,"[""c"", ""git""]","[""go""]",7.0+,1+,"Digital Marketing Executive Morecare Mobility Jaipur ₹ 2,00,000 - 2,50,000 ₹ 2,00,000 - 2,50,000 /year 1 year(s) As a digital marketing executive at Morecare Mobility, you will play a crucial role in developing and implementing our digital marketing strategies to drive growth and engagement. Your expertise in areas such as Digital Advertising, Content Marketing, SEO, SEM, Facebook Ads, Google Keyword Planner, Social Media Marketing, Facebook Marketing, Email Marketing, Instagram Marketing, and c",Jaipur,6-16 LPA,internshala,2026-04-09,https://internshala.com/jobs/bp-jobs/page-1
ExxonMobil,Other,Digital Marketing,Digital Marketing Executive,Intern,"[""c"", ""git""]","[""go""]",7.0+,1+,"Digital Marketing Executive Morecare Mobility Jaipur ₹ 2,00,000 - 2,50,000 ₹ 2,00,000 - 2,50,000 /year 1 year(s) As a digital marketing executive at Morecare Mobility, you will play a crucial role in developing and implementing our digital marketing strategies to drive growth and engagement. Your expertise in areas such as Digital Advertising, Content Marketing, SEO, SEM, Facebook Ads, Google Keyword Planner, Social Media Marketing, Facebook Marketing, Email Marketing, Instagram Marketing, and c",Jaipur,6-16 LPA,internshala,2026-04-09,https://internshala.com/jobs/exxonmobil-jobs/page-1
Baker Hughes,Other,Digital Marketing,Digital Marketing Executive,Intern,"[""c"", ""git""]","[""go""]",7.0+,1+,"Digital Marketing Executive Morecare Mobility Jaipur ₹ 2,00,000 - 2,50,000 ₹ 2,00,000 - 2,50,000 /year 1 year(s) As a digital marketing executive at Morecare Mobility, you will play a crucial role in developing and implementing our digital marketing strategies to drive growth and engagement. Your expertise in areas such as Digital Advertising, Content Marketing, SEO, SEM, Facebook Ads, Google Keyword Planner, Social Media Marketing, Facebook Marketing, Email Marketing, Instagram Marketing, and c",Jaipur,6-16 LPA,internshala,2026-04-09,https://internshala.com/jobs/baker-hughes-jobs/page-1
BCG,Other,Digital Marketing,Digital Marketing Executive,Intern,"[""c"", ""git""]","[""go""]",7.0+,1+,"Digital Marketing Executive Morecare Mobility Jaipur ₹ 2,00,000 - 2,50,000 ₹ 2,00,000 - 2,50,000 /year 1 year(s) As a digital marketing executive at Morecare Mobility, you will play a crucial role in developing and implementing our digital marketing strategies to drive growth and engagement. Your expertise in areas such as Digital Advertising, Content Marketing, SEO, SEM, Facebook Ads, Google Keyword Planner, Social Media Marketing, Facebook Marketing, Email Marketing, Instagram Marketing, and c",Jaipur,6-16 LPA,internshala,2026-04-09,https://internshala.com/jobs/bcg-jobs/page-1
Thomson Reuters,Other,Digital Marketing,Digital Marketing Executive,Intern,"[""c"", ""git""]","[""go""]",7.0+,1+,"Digital Marketing Executive Morecare Mobility Jaipur ₹ 2,00,000 - 2,50,000 ₹ 2,00,000 - 2,50,000 /year 1 year(s) As a digital marketing executive at Morecare Mobility, you will play a crucial role in developing and implementing our digital marketing strategies to drive growth and engagement. Your expertise in areas such as Digital Advertising, Content Marketing, SEO, SEM, Facebook Ads, Google Keyword Planner, Social Media Marketing, Facebook Marketing, Email Marketing, Instagram Marketing, and c",Jaipur,6-16 LPA,internshala,2026-04-09,https://internshala.com/jobs/thomson-reuters-jobs/page-1
BlackRock,Other,Digital Marketing,Digital Marketing Executive,Intern,"[""c"", ""git""]","[""go""]",7.0+,1+,"Digital Marketing Executive Morecare Mobility Jaipur ₹ 2,00,000 - 2,50,000 ₹ 2,00,000 - 2,50,000 /year 1 year(s) As a digital marketing executive at Morecare Mobility, you will play a crucial role in developing and implementing our digital marketing strategies to drive growth and engagement. Your expertise in areas such as Digital Advertising, Content Marketing, SEO, SEM, Facebook Ads, Google Keyword Planner, Social Media Marketing, Facebook Marketing, Email Marketing, Instagram Marketing, and c",Jaipur,6-16 LPA,internshala,2026-04-09,https://internshala.com/jobs/blackrock-jobs/page-1
Morningstar,Other,Digital Marketing,Digital Marketing Executive,Intern,"[""c"", ""git""]","[""go""]",7.0+,1+,"Digital Marketing Executive Morecare Mobility Jaipur ₹ 2,00,000 - 2,50,000 ₹ 2,00,000 - 2,50,000 /year 1 year(s) As a digital marketing executive at Morecare Mobility, you will play a crucial role in developing and implementing our digital marketing strategies to drive growth and engagement. Your expertise in areas such as Digital Advertising, Content Marketing, SEO, SEM, Facebook Ads, Google Keyword Planner, Social Media Marketing, Facebook Marketing, Email Marketing, Instagram Marketing, and c",Jaipur,6-16 LPA,internshala,2026-04-09,https://internshala.com/jobs/morningstar-jobs/page-1
Novo Nordisk,Other,Digital Marketing,Digital Marketing Executive,Intern,"[""c"", ""git""]","[""go""]",7.0+,1+,"Digital Marketing Executive Morecare Mobility Jaipur ₹ 2,00,000 - 2,50,000 ₹ 2,00,000 - 2,50,000 /year 1 year(s) As a digital marketing executive at Morecare Mobility, you will play a crucial role in developing and implementing our digital marketing strategies to drive growth and engagement. Your expertise in areas such as Digital Advertising, Content Marketing, SEO, SEM, Facebook Ads, Google Keyword Planner, Social Media Marketing, Facebook Marketing, Email Marketing, Instagram Marketing, and c",Jaipur,6-16 LPA,internshala,2026-04-09,https://internshala.com/jobs/novo-nordisk-jobs/page-1
Pfizer,Other,Digital Marketing,Digital Marketing Executive,Intern,"[""c"", ""git""]","[""go""]",7.0+,1+,"Digital Marketing Executive Morecare Mobility Jaipur ₹ 2,00,000 - 2,50,000 ₹ 2,00,000 - 2,50,000 /year 1 year(s) As a digital marketing executive at Morecare Mobility, you will play a crucial role in developing and implementing our digital marketing strategies to drive growth and engagement. Your expertise in areas such as Digital Advertising, Content Marketing, SEO, SEM, Facebook Ads, Google Keyword Planner, Social Media Marketing, Facebook Marketing, Email Marketing, Instagram Marketing, and c",Jaipur,6-16 LPA,internshala,2026-04-09,https://internshala.com/jobs/pfizer-jobs/page-1
Novartis,Other,Digital Marketing,Digital Marketing Executive,Intern,"[""c"", ""git""]","[""go""]",7.0+,1+,"Digital Marketing Executive Morecare Mobility Jaipur ₹ 2,00,000 - 2,50,000 ₹ 2,00,000 - 2,50,000 /year 1 year(s) As a digital marketing executive at Morecare Mobility, you will play a crucial role in developing and implementing our digital marketing strategies to drive growth and engagement. Your expertise in areas such as Digital Advertising, Content Marketing, SEO, SEM, Facebook Ads, Google Keyword Planner, Social Media Marketing, Facebook Marketing, Email Marketing, Instagram Marketing, and c",Jaipur,6-16 LPA,internshala,2026-04-09,https://internshala.com/jobs/novartis-jobs/page-1
Roche,Other,Digital Marketing,Digital Marketing Executive,Intern,"[""c"", ""git""]","[""go""]",7.0+,1+,"Digital Marketing Executive Morecare Mobility Jaipur ₹ 2,00,000 - 2,50,000 ₹ 2,00,000 - 2,50,000 /year 1 year(s) As a digital marketing executive at Morecare Mobility, you will play a crucial role in developing and implementing our digital marketing strategies to drive growth and engagement. Your expertise in areas such as Digital Advertising, Content Marketing, SEO, SEM, Facebook Ads, Google Keyword Planner, Social Media Marketing, Facebook Marketing, Email Marketing, Instagram Marketing, and c",Jaipur,6-16 LPA,internshala,2026-04-09,https://internshala.com/jobs/roche-jobs/page-1
AstraZeneca,Other,Digital Marketing,Digital Marketing Executive,Intern,"[""c"", ""git""]","[""go""]",7.0+,1+,"Digital Marketing Executive Morecare Mobility Jaipur ₹ 2,00,000 - 2,50,000 ₹ 2,00,000 - 2,50,000 /year 1 year(s) As a digital marketing executive at Morecare Mobility, you will play a crucial role in developing and implementing our digital marketing strategies to drive growth and engagement. Your expertise in areas such as Digital Advertising, Content Marketing, SEO, SEM, Facebook Ads, Google Keyword Planner, Social Media Marketing, Facebook Marketing, Email Marketing, Instagram Marketing, and c",Jaipur,6-16 LPA,internshala,2026-04-09,https://internshala.com/jobs/astrazeneca-jobs/page-1
